Persecution at School	Sukuu Ɔtae
astatine At 85	astatine At 85
radon Rn 86	radon Rn 86
francium Fr 87	francium Fr 87
radium Ra 88	radium Ra 88
actinium Ac 89	actinium Ac 89
thorium Th 90	thorium Th 90
protactinium Pa 91	protactinium Pa 91
uranium U 92	uranium U 92
neptunium Np 93	neptunium Np 93
plutonium Pu 94	plutonium Pu 94
americium Am 95	americium Am 95
curium Cm 96	curium Cm 96
berkelium Bk 97	berkelium Bk 97
californium Cf 98	californium Cf 98
einsteinium Es 99	einsteinium Es 99
fermium Fm 100	fermium Fm 100
mendelevium Md 101	mendelevium Md 101
nobelium No 102	nobelium No 102
lawrencium Lr 103	lawrencium Lr 103
rutherfordium Rf 104	rutherfordium Rf 104
dubnium Db 105	dubnium Db 105
seaborgium Sg 106	seaborgium Sg 106
bohrium Bh 107	bohrium Bh 107
hassium Hs 108	hassium Hs 108
meitnerium Mt 109	meitnerium Mt 109
110	110
111	111
112	112
114	114
116	116
118	118
[ Diagram ]	[ Nsɛm a wɔahyehyɛ ]
Helium atom	Helium atom
Electron	Electron
Proton	Proton
Neutron	Neutron
ELECTROMAGNETISM	TUMI A ƐWƆ TWEBO MU
STRONG NUCLEAR FORCE	NUKLEA TUMI A ANO YƐ DEN
GRAVITY	TUMI A ƐTWE ADE BA FAM
WEAK NUCLEAR FORCE	NUKLEA TUMI A ANO NYƐ DEN
Water molecule	Nsu mu abɔde mu nneɛma nketenkete
Atom nucleus	Atɔm mu ade titiriw
Blue giant	Owia a ɛbɔ kɛse
Red dwarf	Owia a ɛmmɔ kɛse
Sun	Owia
Earth’s Orbit	Sɛnea Asase Twa Ne Ho
It’s like a jewel .	Ɛte sɛ ɔbohene .
It’s almost uncanny . ”	Ɛyɛ nwonwa ankasa . ”
But that is not all .	Nanso ɛnyɛ ɛno ara nen .
Oxygen and Photosynthesis	Oxygen ne Photosynthesis
It is truly unique .	Ɛda nsow ankasa .
What is your conclusion ?	Dɛn na wobɛka ?
His conclusion ?	Dɛn na ɔka de wie ?
A SPECIAL PLANET	OKYINSOROMMA SORONKO
[ Credit Line ]	[ Asɛm Fibea ]
NASA photo	NASA mfonini
A .	A .
[ Pictures ]	[ Mfonini ahorow ]
[ Credit Lines ]	[ Asɛm Fibea ]
Sun	Owia
Mercury	Mercury
Venus	Venus
Earth	Asase
Mars	Mars
Jupiter	Jupiter
Saturn	Saturn
Uranus	Uranus
Neptune	Neptune
Pluto	Pluto
[ Credit Lines ]	[ Asɛm Fibea ]
Stern ( SwRI ) , M .	Stern ( SwRI ) , M .
The Changing Workplace	Nnwuma Ahorow a Ɛsakra
The Adverse Effects	Ɔhaw a Ɛde Aba
Surviving Unemployment	Adwuma a Wonnya Nyɛ Ano a Wubegyina
[ Footnote ]	[ Ase hɔ asɛm ]
Name has been changed .	Wɔasesa edin no .
The Bible’s Viewpoint	Bible no Adwene
God’s View of Life	Sɛnea Onyankopɔn Bu nkwa
How did David react ?	Dɛn na Dawid yɛe ?
Is It Worth the Risk ?	So Ɛfata sɛ Yɛde Yɛn Ho To Asiane Mu ?
[ Footnote ]	[ Ase hɔ asɛm ]
Why ?	Dɛn ntia ?
Working Underground	Yɛyɛ Adwuma Wɔ Sum Ase
Exiled to Siberia	Wotwaa Yɛn Asu Kɔɔ Siberia
Our Ministry Blessed	Wohyiraa Yɛn Som Adwuma no So
Betrayed by an Informer	Obi Koyi Yɛn Ma
His words bewildered me .	Ne nsɛm no hyɛɛ me abufuw .
Why ?	Dɛn ntia ?
Back to Ukraine	Yɛkɔ Ukraine Bio
[ Picture on page 20 ]	[ Kratafa 25 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
[ Picture on page 24 ]	[ Kratafa 20 mfonini ]
With my wife Lidiya	Me ne me yere Lidiya
Where Many Are Turning	Nnuru a Nnipa Pii Agye Atom
*	*
A Noteworthy Experience	Nhwɛso Soronko Bi
[ Footnote ]	[ Ase hɔ asɛm ]
Herbal Remedies	Nhabannuru
Dietary Supplements	Aduannuru
Homeopathy	Homeopathy
Chiropractic	Chiropractic
Massage	Ayarefo a Wotwitwiw Wɔn
Acupuncture	Acupuncture
The Choices Are Numerous	Nnuruyɛ Pii Wɔ Hɔ
But where can we turn ?	Nanso , ɛhe na yebetumi adan akɔ ?
St .	St .
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
Black cohosh	“ Black cohosh ”
Saint - John’s - wort	Saint - John’s - wort
[ Credit Line ]	[ Asɛm Fibea ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
Your Choice of Treatment	Aduruyɛ a Wubetumi Apaw
Important Steps to Take	Nneɛma Atitiriw a Ɛsɛ sɛ Woyɛ
Ask questions .	Bisa nsɛm .
Ask them if it helped .	Bisa wɔn hwɛ sɛ egyee wɔn a .
The Quest Realized	Wɔahu Ayaresa Bi a Edi Mu
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
What about you ?	Na wo nso ɛ ?
Talk to Your Parents	Ka Ho Asɛm Kyerɛ W’awofo
Ask them questions .	Bisabisa wɔn nsɛm .
Talking to a Friend	Ka Ho Asɛm Kyerɛ W’adamfo
Remember Rehoboam ?	Kae Rehabeam .
The outcome ?	Dɛn na efi mu bae ?
Disaster !	Ɔhaw !
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 14 ]	[ Asɛm a wɔafa aka wɔ kratafa 14 ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Serving My Sentence	M’afiasenna
What was the problem ?	Ná ɔhaw no ne dɛn ?
Underground Activity	Esum Ase Adwumayɛ
A Capable Wife	Ɔyepa
More Recent Times	Nsɛm a Asisi Nnansa Yi
[ Picture on page 22 ]	[ Kratafa 18 mfonini ]
[ Picture on page 22 ]	[ Kratafa 18 mfonini ]
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
With my wife , Tamara	Me ne me yere Tamara
[ Pictures on page 25 ]	[ Kratafa 27 mfonini ahorow ]
[ Pictures on page 31 ]	[ Kratafa 26 mfonini ahorow ]
[ Credit Lines ]	[ Asɛm Fibea ]
UN photo 143 - 936 / J .	UN photo 143 - 936 / J .
Isaac	Isaac
Why the Moral Crisis	Nea Enti A Abrabɔ Pa Ho Aba Asɛm
The Awake !	Nanso , Nyan !
Is Published , ” Awake !	no , Nyan !
Table of Contents	Emu Nsɛm
November 8 , 2000	November 8 , 2000
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
28 Watching the World	26 Ɛnanom a AIDS Ayɛ Wɔn no Wɔ Nsɛnnennen
30 From Our Readers	29 Wiase Nsɛm
31 A Dramatic Rescue	31 Mmɔden a Wɔbɔ Sɛ Wobeyi Vatican Afi UN no Mu
26	18
What are the dangers ?	Dɛn ne asiane a ɛwom ?
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
For example , Ellen D .	Sɛ nhwɛso no , Ellen , D .
[ Picture on page 3 ]	[ Kratafa 3 mfonini ]
Florence Nightingale	Florence Nightingale
[ Credit Line ]	[ Asɛm Fibea ]
The Vital Role of Nurses	Ayarehwɛfo Dwumadi Titiriw
The Nurse as a Caregiver	Ɔyarehwɛfo a Odwen Afoforo Ho
Why Be a Nurse ?	Dɛn Nti na Ɛsɛ sɛ Woyɛ Ɔyarehwɛfo ?
Awake !	O .
The Joys of Being a Nurse	Ayarehwɛ Mu Anigye
It is a miracle ! ”	Ɛyɛ anwonwade ! ”
Facing the Challenges	Nsɛnnennen Ano a Wobegyina
What can the nurse do ?	Dɛn na ɔyarehwɛfo no betumi ayɛ ?
Challenge the doctor ?	So obetumi agye oduruyɛfo no kyim ?
The need to save money !	Sɛnea ɛbɛyɛ a wɔrensɛe sika pii !
That drains you . ”	Ɛno ma wudi yaw kɛse . ”
The Future for Nurses	Ayarehwɛfo Daakye
Nursing fills that need .	Ayarehwɛ di saa ahiade no ho dwuma .
[ Picture ]	[ Mfonini ]
St .	St .
[ Credit Line ]	[ Asɛm Fibea ]
[ Credit Lines ]	[ Asɛm Fibea ]
UN / J .	UN / J .
Isaac	Isaac
[ Credit Lines ]	[ Asɛm Fibea ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
AS TOLD BY JAN FERENC	SƐNEA JAN FERENC KA KYERƐE
Troubles We Faced	Ɔhaw a Yehyiae
*	*
Arrested and Persecuted	Wɔkyeree Me Yɛɛ Me Ayayade
We can prove it !	Yɛwɔ ho adanse !
His efforts were futile .	Nanso manyɛ emu biara .
I feel that he did .	Mete nka sɛ ɔmaa minyaa ahoɔden .
In and out of Prison	Afiasenna ne Afiasefi
Preaching in Prison	Mekaa Asɛm no Wɔ Afiase
[ Footnote ]	[ Ase hɔ asɛm ]
[ Pictures on page 20 ]	[ Kratafa 16 mfonini ahorow ]
[ Pictures on page 21 ]	[ Kratafa 15 mfonini ]
My wife , Danuta , and me	Me ne me yere Danuta
The Bible’s Viewpoint	Bible no Adwene
Historical Background	Ɛho Abakɔsɛm
Hidden Dangers	Asiane Ahorow a Ahintaw
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
Eastern zodiac	Apuei fam nsoromma mu nsɛnkyerɛnne
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
Western zodiac	Atɔe fam nsoromma mu nsɛnkyerɛnne
A Dramatic Rescue	Ogye A Ɛyɛ Nwonwa
By Awake !	Efi Nyan !
correspondent in BENIN	kyerɛwfo a ɔwɔ BENIN hɔ
To the Rescue	Wogyee Wɔn Nkwa
They were alive !	Ná wonwui !
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 31 ]	[ Kratafa 29 mfonini ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
Why Did Dad Leave Us ?	Dɛn Nti na Paapa Tu Gyaw Yɛn ?
*	*
*	*
Why They Are Silent	Nea Enti a Wontumi Nka
What about your father ?	Wo papa nso ɛ ?
Then he lost his job .	Afei n’adwuma sɛee .
It’s Not Your Fault	Ɔhaw no Mfi Wo
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 15 ]	[ Kratafa 15 mfonini ]
Table of Contents	Emu Nsɛm
December 8 , 2000	December 8 , 2000
10 The Solution at Last !	10 Ano Aduru Ankasa !
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
13 Crossword Puzzle	Dɛn Nti na Paapa Tu Gyaw Yɛn ? 13
18 The Bible’s Viewpoint	Adɛn nti na agyanom bi tu gyaw wɔn mmusua ?
30 From Our Readers	29 Wiase Nsɛm
What happened to them ?	Dɛn na ɛbaa wɔn so ?
( See box , page 5 . )	( Hwɛ adaka mu asɛm no , kratafa 5 . )
[ Blurb on page 4 ]	[ Asɛm a wɔafa aka wɔ kratafa 4 ]
[ Credit Line ]	[ Asɛm Fibea ]
UN photo	UN photo
But they will be solved !	Nanso ɔhaw no befi hɔ !
But how ?	Nanso ɔkwan bɛn so ?
[ Footnote ]	[ Ase hɔ asɛm ]
The Solution at Last !	Ano Aduru Ankasa !
Desirable ?	Eyi yɛ nokware ?
Of course .	Yiw .
Believable ?	Wugye di ?
Help for Young People	Mmoa Ma Mmofra
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
[ Box on page 21 ]	[ Kratafa 19 adaka ]
0 — Not at all	0 — Ɛkyerɛ sɛ wonte nka biara
3 — About half the time	3 — Bɛyɛ mpɛn dodow a wodwensɔ no fã
5 — Almost always	5 — Ɛkame ayɛ sɛ bere biara
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
0 1 2 3 4 5	0 1 2 3 4 5
[ Credit Line ]	[ Asɛm Fibea ]
[ Box on page 22 ]	[ Kratafa 28 adaka ]
Treatments for BPH	Sɛnea Wɔsa BPH
▪ SURGICAL TREATMENT :	▪ OPREHYƐNYƐ :
[ Box on page 22 ]	[ Kratafa 28 adaka ]
[ Diagram on page 20 ]	[ Asɛm a Wɔahyehyɛ wɔ kratafa 16 ]
Bladder	Dwensɔtwaa
Prostate	Ahobae kotoku
Rectum	Turum
Urethra	Dwensɔ ntini
[ Picture on page 23 ]	[ Kratafa 24 mfonini ]
What book is this ?	Eyi yɛ nhoma bɛn ?
in 58 .	no nso wom wɔ bere koro mu .
Why an Appreciated Work	Nea Enti a Nkurɔfo Kyerɛ Adwuma no Ho Anisɔ
A . , Yugoslavia .	A . , Yugoslavia .
[ Picture ]	[ Mfonini ]
[ Pictures on page 7 ]	[ Kratafa 7 mfonini ahorow ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Pictures on page 8 ]	[ Kratafa 8 mfonini ahorow ]
Education for Life	Nhomasua a Wɔde Tra Ase
Education for Life Now	Nhomasua a Esiesie Nkurɔfo Asetra Nnɛ
Education for Life	Nhomasua a Wɔde Tra Ase
A peak of 176,456 !	Ná wɔn dodow si 176,456 !
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 17 ]	[ Kratafa 22 mfonini ]
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
[ Pictures on page 18 ]	[ Kratafa 22 mfonini ahorow ]
Young People Ask . . .	Mmofra Bisa Sɛ . . .
*	*
‘ Acting Crazy ’	‘ Atuatew ’
Hardly .	Ɛnte saa koraa .
Getting Past the Anger	Abufuw So a Wubedi
Taking the Initiative	Di a Wubedi Kan Ayɛ Ho Biribi
Support Your Family !	Boa W’abusua !
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
Names have been changed .	Wɔasesa edin ahorow no .
Why Did Dad Leave Us ? ”	Dɛn Nti na Paapa Tu Gyaw Yɛn ? ”
[ Pictures on page 26 ]	[ Kratafa 19 mfonini ]
magazine at my home . ”	nsɛmma nhoma no bi wɔ me fie daa nso . ”
magazine , ” he said .	no .
[ Picture on page 32 ]	[ Kratafa 32 mfonini ]
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
ANIMALS AND PLANTS	AKWAHOSAN NE ADURUYƐ
Anacondas , 5 / 22	AIDS Wɔ Afrika , 5 / 8
Bird Teach a Prisoner ?	Ayarehwɛfo , 11 / 8
Giraffe , 9 / 22	Nnuruyɛ Foforo , 11 / 8
Quetzal ( bird ) , 2 / 8	Anidaso a Mewɔ no Hyɛɛ Me Den Wɔ Ɔhaw Pii Mu ( Michiko Ogawa ) , 2 / 8
World of Insects , 1 / 8	
ECONOMICS AND EMPLOYMENT	
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
10 / 8	Davidjuk ) , 10 / 8
HEALTH AND MEDICINE	MMOA NE AFIFIDE AHOROW
AIDS in Africa , 5 / 8	G . How ) , 5 / 8
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Anesthesia , 11 / 22	Amanne Ahorow a Agye Din , 1 / 8
Chinese Pharmacy , 11 / 8	
Daily Aspirin , 6 / 22	
Endometriosis , 7 / 22	7 / 8 Mfaso a Ɛwɔ Nneɛma Ho a Wodwennwen So , 9 / 8
Restless Legs , 11 / 22	
Spots Before Your Eyes ?	
( floaters ) , 6 / 8	6 / 8
( blood issue ) , 5 / 8	
HUMAN RELATIONS	
Family Reunited , 5 / 22	
JEHOVAH’S WITNESSES	
Lippert ) , 8 / 22	
Esch ) , 4 / 8	
( blood case ) , 3 / 22	
Antarctica , 7 / 22	
Athens ( Greece ) , 3 / 8	
Chinese Pharmacy , 11 / 8	
Earthquake !	Asasewosow !
( Taiwan ) , 9 / 8	
LIFE STORIES	
How ) , 4 / 22	
Morozov ) , 2 / 22	
Kozhemba ) , 10 / 22	
Ferenc ) , 11 / 8	11 / 8
Dasevich ) , 9 / 22	NKEKAHO
Sisson ) , 8 / 22	8 / 8
Vileyska ) , 12 / 22	
Sturm ) , 6 / 8	6 / 8
MISCELLANEOUS	7 / 8
Braille , Louis , 9 / 8	
Close Shave , 1 / 22	
Cows on Vacation , 7 / 8	
El Niño ?	
3 / 22	8 / 8
Have a Safe Flight !	
5 / 22	Nufu Mu Kokoram — Ade a Ɔbea Biara Suro , 5 / 8
Neckties , 6 / 8	Yi a Wubeyi Ama Ato Wo Honam , 2 / 8
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Time for a New Bed ?	Serew — Eye Ma Wo !
7 / 22	7 / 8
TV News , 4 / 22	
RELIGION	
Santeria , 7 / 8	
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
7 / 22	7 / 8
9 / 22	Wohlfahrt ) , 11 / 8
Evolution Logical ? 6 / 8	Nnipa a Wɔte Abodan Mu Nnɛ ( Lesotho ) , 6 / 8
Noisy Snow , 10 / 8	NYAMESOM
10 / 8	Davidjuk ) , 10 / 8
6 / 8	6 / 8
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Lying — Ever Justified ?	WIASE NSƐM NE TEBEA HOROW
Popular Customs , 1 / 8	Ahodɔmdi , 3 / 8
Proper to Worship Jesus ?	Dɛn na Aba Abrabɔ Pa So ?
4 / 8	4 / 8
True Faith — What Is It ?	Nokware Gyidi — Ɛyɛ Dɛn ?
3 / 8 Who Is a Minister ?	Ɛnnɛyi Nkoayɛ , 3 / 8
“ Death Culture , ” 7 / 8	
Life Too Cheap ? 7 / 8	“ Nnipakum Bebrebe , ” 7 / 8
Modern Slavery , 3 / 8	Nsonsonoe a Ɛda Asikafo ne Ahiafo Ntam , 3 / 8
9 / 8	9 / 8
Propaganda , 6 / 22	So Wommu Nkwa Bio ?
Suicide , 2 / 22	Wɔn a Akodi Ma Wohu Amane Afei , 2 / 8
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
4 / 22	Uwasi ) , 6 / 8
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
YOUNG PEOPLE ASK	
Body Piercing , 3 / 22	3 / 8
Live Abroad ?	
6 / 22 , 7 / 22	
Why Friend Hurt Me ?	
2 / 22	
Why So Thin ?	
9 / 22	Wohlfahrt ) , 11 / 8
Table of Contents	Emu Nsɛm
January 8 , 2001	January 8 , 2001
4 Why Does Love Fade ?	4 Dɛn Nti na Ɔdɔ Sa ?
15 Eat Your Vegetables !	15 Na Biako Pɛ na Ɛwɔ Hɔ Wɔ Mfe Ɔha a Atwam No
26 The Bible’s Viewpoint	26 Nsubɔnten Abien Bi Ho Nsɛm
28 Watching the World	26 Ɛnanom a AIDS Ayɛ Wɔn no Wɔ Nsɛnnennen
30 From Our Readers	29 Wiase Nsɛm
Why was it abandoned ?	
Why ?	Dɛn ntia ?
[ Box on page 3 ]	[ Kratafa 3 adaka ]
DIVORCE AROUND THE WORLD	AWARE A EGU WƆ WIASE NYINAA
Why Does Love Fade ?	Dɛn Nti na Ɔdɔ Sa ?
Dean S .	Oduruyɛfo Dean S .
Nina S .	Ɔbenfo Nina S .
Aaron T .	Oduruyɛfo Aaron T .
	Nasi Ɔtaa Meda mo ase wɔ asɛm “ Mudi mu Kura wɔ Nasi Nniso Ase wɔ Germany ” ho .
Beck .	Beck .
Fields .	Fields .
BECK .	BECK .
But that is not all .	Nanso ɛnyɛ ɛno ara nen .
*	*
By no means !	Ɛnte saa koraa !
Can it be you ?	So ebetumi ayɛ wo ?
Let us see how .	Ma yɛnhwɛ sɛnea ɛte .
[ Footnote ]	[ Ase hɔ asɛm ]
Your View of Commitment	Adwene a Wukura Wɔ Wo Hokafo no Ho
Perhaps .	Ebia ɛte saa .
How ?	Ɔkwan bɛn so na ɛte saa ?
Honoring Your Spouse	Wo Hokafo a Wubedi no Ni
Why ?	Dɛn ntia ?
Conflict — How Serious ?	Ntawntawdi — Ɛde Ɔhaw Ba Ɔkwan Bɛn So ?
We’re always fighting ! ’	Yɛko bere nyinaa ! ’
Why ?	Dɛn ntia ?
*	*
Absolutely !	Saa na ɛte !
*	*
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
THROW THE BALL GENTLY	TOW BƆƆL NO BRƐOO
REMINISCE !	KAAKAE MO KAN ASETRA !
Look at pictures .	Hwɛ mo mfonini ahorow .
What made us laugh ? ’	Dɛn na na ɛma yɛserew ? ’
[ Box on page 12 ]	[ Kratafa 12 adaka ]
NEW MATE , SAME PROBLEMS	ƆHOKAFO FOFORO , ƆHAW KORO NO ARA
[ Box on page 14 ]	[ Kratafa 14 adaka ]
Self - control is vital .	Ahosodi ho hia .
The Bible’s Viewpoint	Bible no Adwene
Scriptural Guidelines	Akwankyerɛ a Kyerɛwnsɛm no De Ma
Consider Your Steps	Susuw Wo Gyinaesi Ahorow Ho
*	*
What was the result ?	Dɛn na efi mu bae ?
[ Footnote ]	[ Ase hɔ asɛm ]
[ Picture on page 26 ]	[ Kratafa 26 mfonini ]
[ Credit Line ]	[ Asɛm Fibea ]
*	*
[ Footnote ]	[ Ase hɔ asɛm ]
What are some of them ?	Emu bi ne dɛn ?
‘ Why me ?	Ebia wobɛka sɛ , ‘ Me nko me ti bɔne .
you may ask yourself .	
Learning From Others	Afoforo a Wubesuasua Wɔn
There is hope , however .	Nanso , anidaso wɔ hɔ .
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 5 ]	[ Asɛm a wɔafa aka wɔ kratafa 5 ]
‘ Why me ?	Ebia wobɛka sɛ , ‘ Me nko me ti bɔne .
you may ask yourself	
How ?	Ɔkwan bɛn so na ɛte saa ?
Learn About Your Illness	Hu Sɛnea Wo Yare no Te
How ?	Ɔkwan bɛn so na ɛte saa ?
Regaining Control	Adwene a Ɛkari Pɛ a Wubenya
Let us consider a few .	Ma yensusuw emu kakraa bi ho nhwɛ .
How has this changed ? ’	Nsakrae bɛn na aba eyi mu ? ’
Helen explains how :	Helen kyerɛkyerɛ nea enti a watumi ayɛ saa no mu sɛ :
Why ?	Dɛn ntia ?
Again , he succeeded .	Otumi yɛɛ ɛno nso .
But how ?	Nanso ɔkwan bɛn so ?
Give Yourself Time	Nya Boasetɔ
[ Footnotes ]	[ Ase hɔ asɛm ]
[ Picture on page 7 ]	[ Kratafa 7 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Picture on page 8 ]	[ Kratafa 9 mfonini ]
[ Pictures on page 9 ]	[ Kratafa 9 mfonini ]
Setbacks Begin	Ɔhaw no Mfiase
I was mute . ”	Ná madan mum . ”
It was a painful time .	Na ɛyɛ awerɛhow bere .
Speechless and Jobless	Ontumi Nkasa na N’adwuma Nso Asɛe
It wasn’t easy .	Na ɛnyɛ mmerɛw .
I worked hard at it ! ”	Mebɔɔ ho mmɔden kɛse ! ”
One more goal reached .	Watumi adu botae foforo nso ho .
Hit by Another Blow	Asiane Foforo Too No
Bill agreed .	Bill penee so .
About one year passed .	Afe twaam .
How did that happen ?	Ɛyɛɛ dɛn na ɛbaa saa ?
We felt so relieved . ”	Ɛmaa yɛdee yɛn ho ankasa . ”
Making More Adjustments	Nsakrae Pii a Yɛyɛe
A Satisfying Distraction	Dwumadi Bi a Ɛyɛ Anigye
A Remaining Goal	Botae a Aka Da M’anim
[ Footnote ]	[ Ase hɔ asɛm ]
[ Blurb on page 12 ]	[ Asɛm a wɔafa aka wɔ kratafa 12 ]
I was mute ”	Ná madan mum ”
[ Picture on page 13 ]	[ Kratafa 13 mfonini ]
Bill and Rose today	Bill ne Rose nnɛ
Young People Ask . . .	Mmofra Bisa Sɛ . . .
This isn’t the ’ 50 ’ s .	Ɛnyɛ 1950 mu na yɛwɔ no .
Everyone’s dating !	Obiara ne obi yɛ nhyehyɛe pue !
*	*
Dangerous Feelings	Nna Ho Nkate a Ɛmfata
Not likely .	Entumi mma saa .
‘ Widening Out ’	‘ Trɛw Wo Fekubɔ Mu ’
The Value of Waiting	Mfaso a Ɛwɔ So sɛ Wobɛtwɛn
It really helps me . ”	Ɛboa me ankasa . ”
[ Footnotes ]	[ Ase hɔ asɛm ]
Names have been changed .	Wɔasesa edin ahorow no .
[ Pictures on page 20 ]	[ Kratafa 16 mfonini ahorow ]
[ Picture on page 21 ]	[ Kratafa 17 mfonini ]
Fire !	Ogya !
Whoof !	Wom !
Better Than Extinguishers	Biribi a Ɛkyɛn Nnwinnade a Wɔde Dum Gya
Should the Worst Happen	Sɛ Nsɛnnennen a Wonhwɛ Kwan Sɔre A
[ Footnote ]	[ Ase hɔ asɛm ]
The U.S .	U.S .
FIRE	OGYA
fuel	fango
heat	ɔhyew
oxygen	oxygen
[ Pictures ]	[ Mfonini ahorow ]
CLASS A	OGYA A
CLASS B	OGYA B
